"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Ignore", "Markdown", "comment", "blank", "total"
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\basic\src\index.ts", "TypeScript", 0, 0, 342, 0, 0, 0, 14, 13, 369
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\.plugin.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\economy\src\index.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 3, 8, 68
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\.plugin.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\pc\Videos\FDYBoT_new\src\plugins\fun\src\index.js", "JavaScript", 0, 440, 0, 0, 0, 0, 9, 14, 463
"c:\Users\pc\Videos\FDYBoT_new\src\services\ap.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\pc\Videos\FDYBoT_new\src\services\helpCommand.js", "JavaScript", 0, 64, 0, 0, 0, 0, 31, 2, 97
"c:\Users\pc\Videos\FDYBoT_new\src\services\i18n.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\pc\Videos\FDYBoT_new\src\services\inventory.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\pc\Videos\FDYBoT_new\src\services\math.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\pc\Videos\FDYBoT_new\src\services\random.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\pc\Videos\FDYBoT_new\src\services\snowflake.js", "JavaScript", 0, 19, 0, 0, 0, 0, 4, 8, 31
"c:\Users\pc\Videos\FDYBoT_new\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 75, 9, 103
"Total", "-", 25, 1832, 867, 2090, 3, 53, 303, 165, 5338
